Date,Time,Direction,Type,Occupancy,Gender
25-10-2022,10.30am,out,van,3,m
25-10-2022,10.30am,out,lorry,2,m
25-10-2022,10.30am,out,car,2,m
25-10-2022,10.30am,out,taxi,2,f
25-10-2022,10.35am,out,car,1,m
25-10-2022,10.35am,out,car,1,f
25-10-2022,10.35am,out,lorry,1,m
25-10-2022,10.35am,out,car,1,m
25-10-2022,10.35am,out,car,2,f
25-10-2022,10.35am,out,bus,empty,m
25-10-2022,10.35am,out,bus,empty,m
25-10-2022,10.35am,out,car,3,m
25-10-2022,10.35am,out,car,2,m
25-10-2022,10.35am,out,car,2,m
25-10-2022,10.40am,out,car,2,m
25-10-2022,10.40am,out,car,1,f
25-10-2022,10.40am,out,taxi,1,m
25-10-2022,10.40am,out,car,1,m
25-10-2022,10.40am,out,bus,empty,m
25-10-2022,10.40am,out,car,2,m
25-10-2022,10.40am,out,car,1,m
25-10-2022,10.40am,out,bus,empty,m
25-10-2022,10.40am,out,car,2,f
25-10-2022,10.40am,out,car,2,f
25-10-2022,10.40am,out,car,1,f
25-10-2022,10.40am,out,taxi,3,m
25-10-2022,10.40am,out,van,1,m
25-10-2022,10.45am,out,car,1,f
25-10-2022,10.45am,out,car,1,m
25-10-2022,10.45am,out,car,1,m
25-10-2022,10.45am,out,bus,empty,m
25-10-2022,10.50am,out,lorry,1,m
25-10-2022,10.50am,out,bus,empty,m
25-10-2022,10.50am,out,van,3,m
25-10-2022,10.50am,out,car,1,f
25-10-2022,10.50am,out,car,1,m
25-10-2022,10.50am,out,car,1,f
25-10-2022,10.50am,out,bus,empty,m
25-10-2022,10.55am,out,bus,medium,m
25-10-2022,11.00am,out,car,2,m
25-10-2022,11.00am,out,car,2,f
25-10-2022,11.00am,out,car,1,m
25-10-2022,11.00am,out,taxi,1,m
25-10-2022,11.00am,out,car,1,f
25-10-2022,11.00am,out,taxi,1,m
25-10-2022,11.00am,out,car,1,f
25-10-2022,11.00am,out,other,1,m
25-10-2022,11.00am,out,car,1,f
25-10-2022,11.00am,out,bus,medium,m
25-10-2022,11.00am,out,car,1,m
