Type,Occupancy,Gender
van,3,m
lorry,2,m
car,2,m
taxi,2,f
car,1,m
car,1,f
lorry,1,m
car,1,m
car,2,f
bus,empty,m
bus,empty,m
car,3,m
car,2,m
car,2,m
car,2,m
car,1,f
taxi,1,m
car,1,m
bus,empty,m
car,2,m
car,1,m
bus,empty,m
car,2,f
car,2,f
car,1,f
taxi,3,m
van,1,m
car,1,f
car,1,m
car,1,m
bus,empty,m
lorry,1,m
bus,empty,m
van,3,m
car,1,f
car,1,m
car,1,f
bus,empty,m
bus,medium,m
car,2,m
car,2,f
car,1,m
taxi,1,m
car,1,f
taxi,1,m
car,1,f
other,1,m
car,1,f
bus,medium,m
car,1,m
